Organization/Person Name,Description,Organization/Person Name URL,Specific VC Binary
Amy Morhaime,Amy Morhaime is the Co-Founder at Dreamhaven.,https://www.crunchbase.com/person/amy-morhaime,
Banco de Investimento Global,"Banco de Investimento Global, SA is a specialized financial institution which is licensed in all business areas open to the banking sector",https://www.crunchbase.com/organization/banco-de-investimento-global,
E2IN2,"Founded in 2015, E2IN2 is a private investment firm based in Madrid, Spain. The firm seeks to make investments in Spain.",https://www.crunchbase.com/organization/e2in2,
Peter Vesterbacka,"Peter Vesterbacka is the Founder at FinEst Bay Area, Mobile Monday, and Slush. He served as the Chief Marketing Officer and Mighty Eagle of ...",https://www.crunchbase.com/person/peter-vesterbacka,
Aaron Schildkrout,Aaron Schildkrout is the Investor of Addition. He attended Harvard University.,https://www.crunchbase.com/person/aaron-schildkrout,
Greg Bailey,"Dr. Gregory H. Bailey is a Managing Partner at Palantir Group, Inc. Dr. Bailey is the Co-founder of Ascent Healthcare Solutions; VirnetX Inc...",https://www.crunchbase.com/person/greg-bailey,
wayra Germany,We are one of the seven global innovation hubs of Telefónica.,https://www.crunchbase.com/organization/wayra-germany,
Thominvest,"Thominvest is a family office based in Helsinki, Finland owned by investment companies Thomasset Oy and Thomfinance Oy.",https://www.crunchbase.com/organization/thominvest,
CELAD,Celad is a global software engineering company with over 1200 engineers.,https://www.crunchbase.com/organization/celad,
Maxim Poletaev,"Maxim Poletaev was born on April 6, 1971, in Yaroslavl. In 1993 he graduated from Yaroslavl State University with a degree in Accounting,...",https://www.crunchbase.com/person/maxim-poletaev,
Bouygues Immobilier,Bouygues Immobilier is a leading French real estate and urban developer.,https://www.crunchbase.com/organization/bouygues-immobilier,
CSOB,"Československá obchodní banka, as is one of the largest commercial banks operating in the Czech Republic.",https://www.crunchbase.com/organization/ceskoslovenska-obchodni-banka,
Rocktop Partners,Rocktop Partners is an alternative investment manager in the Credit space utilizing a robust technology and data-driven approach.,https://www.crunchbase.com/organization/rocktop-partners,
Foundation for Research and Technology,One of the largest research centers in Greece.,https://www.crunchbase.com/organization/foundation-for-research-and-technology,
Alternative Bank Switzerland,"Alternative Bank Switzerland is a banking platform that offers savings, mortgage, investment banking, and stock market speculating services.",https://www.crunchbase.com/organization/alternative-bank-switzerland,
Coingeek,Coingeek is a cryptocurrency news site.,https://www.crunchbase.com/organization/coingeek,
Louva Invest,Louva Invest is an investment company specialized in early-stage.,https://www.crunchbase.com/organization/louva-invest,
Pulsalys,"Pulsalys is an innovation incubator and accelerator, builds the innovative products and services of tomorrow.",https://www.crunchbase.com/organization/pulsalys,
Kay Schmidt,"Kay Schmidt, CEO of BDCG GmbH, is a seasoned entrepreneur with a rich family history rooted in business excellence. Hailing from a lineage o...",https://www.crunchbase.com/person/kay-schmidt-bd51,
GS Group,"GS Group is an international investment and industry holding, operating on the basis of its own high technologies in telecommunications.",https://www.crunchbase.com/organization/gs-group,
Dean Dorrell,"Dean Dorrell has a B.A. (Hons.) in Economics and had a successful initial career as a bond trader, arbitrageur and proprietary trader. He wa...",https://www.crunchbase.com/person/dean-dorrell,
SKL VC,Early-stage VC firm investing in and actively growing seed-stage companies. Focus on US and Eastern Europe markets and Frontier Tech,https://www.crunchbase.com/organization/skl-vc,
VTB Capital,VTB Capital offers a full range of investment banking products and services to Russian and international clients.,https://www.crunchbase.com/organization/vtb-capital-3344,
Groupe Etchart,"Groupe Etchart specializes in construction, energy, water, pipeline, civil engineering, roads, VRD, BTP, Networks, STEP, and sanitation.",https://www.crunchbase.com/organization/groupe-etchart,
Telenet Holding,"Telenet Group Holding NV, through its subsidiaries, provides media and communication services in Belgium.",https://www.crunchbase.com/organization/telenet-holding,
FundBox,"FundBox is an alternative investment management company that provides accounting, cash management, and tax compliance services.",https://www.crunchbase.com/organization/fundbox-24bb,
KV Rao,KV Rao is the Founder of Aviso. He attended Missouri University of Science and Technology.,https://www.crunchbase.com/person/k-v-rao,
RoX Health,RoX Health is a Pharmaceutical Manufacturing company.,https://www.crunchbase.com/organization/rox-health,
Crown Ocean Capital,Crown Ocean Capital is a private equity firm that invests in seed and early stage companies.,https://www.crunchbase.com/organization/crown-ocean-capital,
Patrice Thiry,Patrice Thiry is the President & Co-Founder of TOMCAT INVEST. He previously worked at Kobus Tech as a Shareholder. Patrice Thiry attended Pa...,https://www.crunchbase.com/person/patrice-thiry,
Antoine Freysz,"After launching his first venture in 2000 (exited in 2002), Antoine joined the Travelocity / Lastminute group as Sales Director and then bec...",https://www.crunchbase.com/person/antoine-freysz,
Rudy Karsan,Rudy Karsan is a technology entrepreneur and investor. Nothing excites him more than a great idea and a stellar team of executors who he can...,https://www.crunchbase.com/person/rudy-karsan,
TBA Network,"TBA Network provides risk capital, entrepreneurial expertise, and valuable network support to ambitious founders.",https://www.crunchbase.com/organization/tba-network,
Chicago Board Options Exchange,Chicago Board Options Exchange is an equities market company that calculates and disseminates the CBOE Volatility Index (VIX).,https://www.crunchbase.com/organization/chicago-board-options-exchange,
Batipart,Batipart is a service provider of real estate and developing a financial and industrial partnerships.,https://www.crunchbase.com/organization/batipart,
The Riva Group,"The Riva Group is a diversified group, delivering excellence in creative design, animation, visual effects, development.",https://www.crunchbase.com/organization/the-riva-group,
Agile Capital Partners,Agile Capital Partners is a California-based investment company that offers private equity funding opportunities.,https://www.crunchbase.com/organization/agile-capital-partners,
Haflo,Haflo is a family fund that supports the dreams of innovative individuals.,https://www.crunchbase.com/organization/haflo,
DI Group,DI Group is a holding company that develops and manufactures industrial equipment for machine tools.,https://www.crunchbase.com/organization/di-group,
Crèdit Andorrà,"Crèdit Andorrà offers financial services such as commercial banking, private banking, asset management, and insurance services.",https://www.crunchbase.com/organization/crèdit-andorrà,
Ojjeh Family Fund,Ojjeh Family Fund is the family investment fund founded by the Oijeh Family.,https://www.crunchbase.com/organization/ojjeh-family-fund,
SNK (GSYO),SNK is a venture capital investment company established in partnership to invest in developing and emerging sectors in Turkey.,https://www.crunchbase.com/organization/snk-gsyo,
Smart Equity,"Smart Equity is a business angel investment firm based in Paris, France.",https://www.crunchbase.com/organization/smart-equity,
Net Insurance,Net Insurance is an insurance company.,https://www.crunchbase.com/organization/net-insurance,
Pawel Smocyzk,Pawel Smocyzk,https://www.crunchbase.com/person/pawel-smocyzk,
Bill McKiernan,"William S. McKiernan, Bill founded CyberSource Corp. in 1994 and served as its Chief Executive Officer from December 1997 to January 1, 2010...",https://www.crunchbase.com/person/bill-mckiernan,
Techemy Capital,Techemy Capital is a bespoke investment company investing and trading across the entire blockchain and crypto asset ecosystem.,https://www.crunchbase.com/organization/techemy-capital,
ANUP REDDY PERATI,Anup Reddy Perati is the Founder and Chief Executive Officer at LASDAX. Anup Reddy Perati graduated with a B.S. in Computer Science from Mas...,https://www.crunchbase.com/person/anup-reddy-perati,
Hermitage Equity Partners,Hermitage Equity Partners is a middle market private equity investment firm dedicated to building market-leading companies.,https://www.crunchbase.com/organization/hermitage-equity-partners,
Massimiliano Magrini,Massimiliano is co-founder and Managing Partner United Ventures . Previously at  Altavista and founding Country manager of Google Italy. Fou...,https://www.crunchbase.com/person/massimiliano-magrini,
José Costa Rodrigues,"José Costa Rodrigues is a Portuguese entrepreneur, based in Austin, Texas, USA. -Back in Portugal in 2015, at 19 years old, he founded Fora...",https://www.crunchbase.com/person/josé-costa-rodrigues,
Nathan Benaich,Nathan Benaich - General Partner @ Air Street Capital,https://www.crunchbase.com/person/nathan-benaich,
Privanet Group,Privanet Group is a investment service group specialised in the trading of unlisted shares and managing companies’ financing needs.,https://www.crunchbase.com/organization/privanet-group,
Capita,Capita focuses on delivering expertise and technology solutions to improve business outcomes.,https://www.crunchbase.com/organization/capita,
SeedCloud,SeedCloud is a An Incubator/Accelerator located in London.,https://www.crunchbase.com/organization/seedcloud,
John “JG” Chirapurath,"EVP @ SAP. Formerly SAP’s Platform CMO leading commercial strategy, product, solutions marketing and GTM across HANA Database, Analytics, AI...",https://www.crunchbase.com/person/john-chirapurath,
angelgroups,"We intelligently match angel investors to ambitious high growth SMEs, across all sectors.",https://www.crunchbase.com/organization/angelgroups,
Agrifood,Agrifood is providing software solution specialized in feed industry and animal production.,https://www.crunchbase.com/organization/agrifood,
The Group Spadel,"Spadel provides throughout the course of life, natural and forever improved answers to your needs for hydration and desires for refreshment.",https://www.crunchbase.com/organization/the-group-spadel,
iCatapult,iCatapult is a business development company that helps European tech start-ups expand their businesses to a global scale.,https://www.crunchbase.com/organization/icatapult,
Fondazione CR Firenze,"Fondazione CR Firenze is a foundation of banking origin,  a non-profit organization",https://www.crunchbase.com/organization/fondazione-cr-firenze,
CMC XXI,CMC XXI is an investment Firm.,https://www.crunchbase.com/organization/cmc-xxi,
Capital Blue Partners,"Capital Blue Partners is a family fund that mainly invests in private equity, food, sustainable energy and IT sectors.",https://www.crunchbase.com/organization/capital-blue-partners,
Nicolas Cary,Nicolas Cary is the Co-Founder & Vice Chairman at Blockchain.com.,https://www.crunchbase.com/person/nicolas-cary,
GGM Capital,GGM Capital is an advisory and asset management firm offers a portfolio of investment banking services.,https://www.crunchbase.com/organization/ggm-capital,
Patrick Zbinden,Patrick Zbinden is the current Chief Executive Officer of Capital Union Bank. He previously worked at EFG Asset Management as a Co-Head. Pat...,https://www.crunchbase.com/person/patrick-zbinden,
Kamal Haider,Kamal Haider - Founder @ Market Securities,https://www.crunchbase.com/person/kamal-haider,
Lorenzo Franzi,Lorenzo is Co-Founder & Managing Director of ZipJet. ZipJet is an urban pick-up & delivery service for laundry & dry cleaning in London and ...,https://www.crunchbase.com/person/lorenzo-franzi,
Adrien Miniatti,Adrien Miniatti is the CEO and Founder of Luni.,https://www.crunchbase.com/person/adrien-miniatti,
Crédit Agricole Normandie, the first bank certified,https://www.crunchbase.com/organization/crédit-agricole-normandie,
The Waterloo Foundation,The Waterloo Foundation (TWF) is an independent grant-making Foundation.,https://www.crunchbase.com/organization/the-waterloo-foundation,
WidInvest,WidInvest is a boutique Family office venture capital arm. ,https://www.crunchbase.com/organization/widinvest-ag,
Big Venture Challenge,"The Big Venture Challenge supports ambitious entrepreneurs with access to business support, powerful connections and match funding to help",https://www.crunchbase.com/organization/big-venture-challenge,
Ey Ventures,"EY Ventures, LLC, is a privately held Dallas-based real estate investment company.",https://www.crunchbase.com/organization/ey-ventures,
Di-Ann Eisnor,"Di-Ann lives in Palo Alto, by way of Portland, Boston, New York City, and Amsterdam. Since moving to the Northwest, she has pressed apples, ...",https://www.crunchbase.com/person/di-ann-eisnor,
Tharald Nustad,"Tharald Nustad is the Founder and Owner of Nordic Impact, Founder and Owner of Katapult, and Co-Founder of Katapult Ocean. He is a former Ch...",https://www.crunchbase.com/person/tharald-nustad,
VENTA GROUP,"The Venta Real Estate Group stands for competence, reliability and success on the real estate market",https://www.crunchbase.com/organization/venta-group,
Lorien Gabel,"Lorien Gabel is based out of Wilson, Wyoming and is the CEO and Co-Founder of Figment Capital. Lorien previously worked at Bionic Solution a...",https://www.crunchbase.com/person/lorien-gabel,
"908, Inc.","908, Inc. aims to grow successful products from ideas and helps with angel investments and smart money at the stage of working prototype.",https://www.crunchbase.com/organization/908-inc,
Rain Lõhmus,Rain co-founded Livonia Partners. He has one of the most extensive investment and entrepreneurial track records in the Baltics across a wide...,https://www.crunchbase.com/person/rain-lõhmus,
Gaby Salem,"Gaby is the founder and Managing Director of Wharton Asset Management, a private London based family office specialising in private equity i...",https://www.crunchbase.com/person/gaby-salem,
BlockchainIL,BlockchainIL is a management consulting company.,https://www.crunchbase.com/organization/blockchainil,
Producement,A startup-minded product engineering company started by ex-TransferWisers in 2017.,https://www.crunchbase.com/organization/producement,
Falmouth Launchpad,Falmouth Launchpad is a demand-driven incubator and accelerator.,https://www.crunchbase.com/organization/falmouth-launchpad,
Nikolaj Nyholm,Nikolaj Nyholm - Founder & CEO @ Scattershot,https://www.crunchbase.com/person/nikolaj-nyholm,
Red Dawn Ventures,Red Dawn Ventures makes investments in technology and gaming firms.,https://www.crunchbase.com/organization/red-dawn-ventures,
Zero Gravity,We are a B2B startup acceleration program that helps founders and teams to focus on what really matters: Make Meaning to Make Money.,https://www.crunchbase.com/organization/zero-gravity-d14a,
Birch Venture Capital,"The Birch Venture Capital, Inc. has portfolios in California, Taiwan, Eastern China and Southern China areas. Their investments are all in",https://www.crunchbase.com/organization/birch-venture-capital,
Ampega Asset Management,Ampega Asset Management  is an investment Firm.,https://www.crunchbase.com/organization/ampega-asset-management,
Mountain Labs,"Mountain Labs AG, an incubator specialized in funding innovative technology.",https://www.crunchbase.com/organization/mountain-labs,
Richard Burton,Richard Burton - CEO @ Balance Software,https://www.crunchbase.com/person/richard-burton-97d1,
Yalin Karadogan,"Yalin is a member of the Investor Relations and Fundraising team, responsible for Cinven's Limited Partners in EMEA.  At Cinven, he has also...",https://www.crunchbase.com/person/yalin-karadogan,
Orhan Ayanlar,"Orhan is a Partner of Mediterra and serves on the investment committee. Prior to joining the team in 2011, Orhan was with Bedminster Capital...",https://www.crunchbase.com/person/orhan-ayanlar,
National Technology Initiative,National Technology Initiative is a long-term program to create new markets and provide conditions for Russia's technological leadership.,https://www.crunchbase.com/organization/national-technology-initiative,
BlueHealth Innovation Center,BlueHealth Innovation Center is driving the digital transformation of healthcare. for Students.,https://www.crunchbase.com/organization/bluehealth-innovation-center,
Startup Spaze,"Startup Spaze is a startup incubator, providing seed funding, intensive hands-on mentorship, and community for startups and entrepreneurs.",https://www.crunchbase.com/organization/startup-spaze1,
Yury Melnichek,"Belarusian tech entrepreneur and investor. Founded MAPS.ME (sold to Mail.Ru Group, November 2014) and AIMATTER (sold to Google, August 2017)...",https://www.crunchbase.com/person/yury-melnichek,
Bob Zipp,"Bob co-founded Amicus in 1998 with Jim Brock. Bob has focused on seed stage investing for the past decade, and has been working with seed st...",https://www.crunchbase.com/person/bob-zipp,
Tuomo Riekki,Tuomo Riekki - Founder & CPO @ Smartly.io,https://www.crunchbase.com/person/tuomo-riekki-2,
Inbound Capital,Inbound Capital is an Access Specialist Investor for Startups and Small Caps.,https://www.crunchbase.com/organization/inbound-capital,
Philipp Roesch-Schlanderer,"Philipp was an unsuccessful gym goer and decided to found eGym in 2010 with the vision to make the gym work for everyone. Prior, he studied ...",https://www.crunchbase.com/person/philip-roesch-schladerer,
Rebel,Rebel is a platform for socially responsible entrepreneurs working at the interface of public and private initiative.,https://www.crunchbase.com/organization/rebel,
IncubAsia Ventures,IncubAsia Ventures is a venture capital that works with early-stage technology companies in the expanding Asian markets.,https://www.crunchbase.com/organization/incubasia-ventures,
