Organization/Person Name,Description,Organization/Person Name URL,Industry-Specific VC Binary,pred_label
Forepont Capital Partners,Forepont Capital Partners provides permanent capital to invest in the asset manager and strengthen this partnership.,https://www.crunchbase.com/organization/forepont-capital-partners,,0
Lightshift Capital,"Lightshift Capital is an early-stage investor and invests in blockchain, crypto, and web3 projects.",https://www.crunchbase.com/organization/lightshift-capital,,1
Capital Croissance,Capital Croissance makes equity investments in French SMEs through transfer or growth capital transactions.,https://www.crunchbase.com/organization/capital-croissance,,0
Mutuelles Impact,Mutuelles Impact is the Mutualité Française fund dedicated to prevention and care.,https://www.crunchbase.com/organization/mutuelles-impact,,1
Spring Invest,"Spring Invest is a Venture Capital firm, shaping the Future of Commerce.",https://www.crunchbase.com/organization/spring-3,,1
2050,2050 is an investment fund that combines performance and company alignment and is set out to craft a fertile future.,https://www.crunchbase.com/organization/2050,,0
Rapyd Ventures,Rapyd Ventures invests in capability providers building the next generation of FinTech infrastructure and end-user platforms.,https://www.crunchbase.com/organization/rapyd-ventures,,1
Super Capital,Super Capital offers financing solutions and 360° support for early-stage startups.,https://www.crunchbase.com/organization/super-capital,,0
Colam Impact,Colam Impact aims to develop companies with a societal impact through financial investment in these companies and long.,https://www.crunchbase.com/organization/colam-impact,,0
Aonia Ventures,Aonia is a venture capital firm that invests over the long term and accompanies new entrepreneurs to build a sustainable project.,https://www.crunchbase.com/organization/aonia-ventures,,1
INCO Ventures,"INCO Ventures is an AMF-licensed fund manager, specialised in venture capital and pioneer in impact investing.",https://www.crunchbase.com/organization/inco-ventures,,0
Noria Invest,"Noria Invest is a FranNoria Gestion SAS co-Belgian family investment company, based in Eurométropole Lille-Kortrijk-Tournai.",https://www.crunchbase.com/organization/noria-invest,,0
High Flyers Capital,High Flyers Capital is a venture capital firm that seeks to invest in the food and beverage sector.,https://www.crunchbase.com/organization/high-flyers-capital,,1
Accurafy 4,A4 is an alternative investment fund offering its members club deal opportunities in early-stage and fast growing companies.,https://www.crunchbase.com/organization/accurafy-advisory,,0
Expanso Capital,Expansion Capital Group is that valued partner for expansion capital solutions.,https://www.crunchbase.com/organization/expanso-capital,,0
Pole Capital,Pole Capital est une société d’investissement spécialisée dans la prise de participations à long-terme dans des startups non-cotées.,https://www.crunchbase.com/organization/pole-capital,,0
Lean FUND,Lean FUND is a privately held seed and early stage investment fund managed by experienced entrepreneurs.,https://www.crunchbase.com/organization/lean-fund,,0
Tachi.ai Ventures,VC firm investing in early-stage venture between Europe and Japan,https://www.crunchbase.com/organization/tachi-ai-ventures,,0
Rhône Dauphiné Développement,SOMUDIMEC is mutual institution managed by the Industrial Metallurgy under the guidance of our professional union.,https://www.crunchbase.com/organization/rhne-dauphin-dveloppement,,0
StartersHub XO,XO is a 6 month long global program with KPI based objectives that guarantees investment upon program completion.,https://www.crunchbase.com/organization/startershub-xo,,0
Weber Investissement,Weber Investissements is a principal investment firm that specializes in the Fintech sector.,https://www.crunchbase.com/organization/weber-investissement,,1
Sodexo Ventures,Sodexo Ventures is the venture capital arm of Sodexo.,https://www.crunchbase.com/organization/sodexo-ventures,,0
iBionext,iBionext is a unique healthcare fund created within a proven breakthrough innovation accelerator.,https://www.crunchbase.com/organization/ibionext-network,,0
Treasury,Treasury is a financial technology VC firm that supports founders.,https://www.crunchbase.com/organization/treasury,,0
Mandi Ventures,Accelerating disruptive technologies across the US and Latin America,https://www.crunchbase.com/organization/mandi-ventures,,0
Resonance,Resonance is a €150m VC fund investing between €500k and €10m at Seed and Series A rounds in European tech firms.,https://www.crunchbase.com/organization/resonance-503c,,0
Thales Corporate Ventures,"Thales Corporate Ventures firm provides financing for telecommunication, software and multimedia companies that develop technologies.",https://www.crunchbase.com/organization/thales-corporate-ventures,,0
Expansion Ventures,Expansion is an venture fund to support European Aerospace & Defence startups.,https://www.crunchbase.com/organization/expansion-f37b,,0
LIAN Group,LIAN Group is a European investment company focusing in disruptive technology,https://www.crunchbase.com/organization/lian-group,,0
ZAS Ventures,Early stage venture firm investing in SaaS & cloud startups in Central & Eastern Europe that target the U.S. market,https://www.crunchbase.com/organization/zas-ventures,,0
GSO Innovation,GSO Innovation is an Investment Firm.,https://www.crunchbase.com/organization/gso-innovation,,0
Azur Innovation Management,Azur Innovation Management is a seed fund that invests in project' industrial ecosystems.,https://www.crunchbase.com/organization/azur-innovation-management,,1
Angelor,Angelor is an investment company.,https://www.crunchbase.com/organization/angelor,,0
Reflexion Capital,Building healthy growth in tech,https://www.crunchbase.com/organization/reflexion-capital,,0
Definitive Capital,Definitive Capital invest in crypto projects shaping the future of finance.,https://www.crunchbase.com/organization/definitive-capital,,1
IT-Translation,IT-Translation is an investor and co-founder of digital technology start-ups spun off from both public and private research.,https://www.crunchbase.com/organization/it-translation,,0
Limousin Participations,Limousin Participations is a French venture capital firm specialized in seed and startup investments.,https://www.crunchbase.com/organization/limousin-participations,,0
La Poste Ventures,"La Poste Ventures, financing startups committed to challenge the status quo and generate a positive impact on business.",https://www.crunchbase.com/organization/la-poste-ventures,,0
Neotec Capital Riesgo,"Neotec Capital Riesgo, a Spanish fund launched by the European Investment Fund (EIF) and the Centre for the Development of Industrial",https://www.crunchbase.com/organization/neotec-capital-riesgo,,0
PME Investimentos,"Financial institution supporting entrepreneurship, innovation, competitiveness and the internationalization of the Portuguese economy.",https://www.crunchbase.com/organization/pme-investimentos,,0
Ankaa Ventures,Ankaa Ventures is a European venture firm backing visionary leaders at seed stage.,https://www.crunchbase.com/organization/ankaa-ventures,,0
Bpifrance Large Venture,"Bpifrance Large Venture is a €1 billion venture capital fund that supports fast-growing, capital-intensive, and innovative companies.",https://www.crunchbase.com/organization/bpifrance-large-venture-81e4,,0
XVC Tech,XVC Tech is a $125 million fund founded by the founders of the XDC Blockchain Network that specializes in early-stage Web3 start-ups.,https://www.crunchbase.com/organization/xvc-tech,,1
115K,115K is a fund of venture capital turned towards financial and strategic performance that is launched by the La Banque Postale group.,https://www.crunchbase.com/organization/115k,,0
Jeriko,Jeriko provides investment to projects dedicated to sustainable food and agriculture.,https://www.crunchbase.com/organization/jeriko,,1
Capital Risque Fribourg,Capital Risque Fribourg is a venture capital that provides funding opportunities for startups and SMEs.,https://www.crunchbase.com/organization/capital-risque-fribourg,,0
ETF Group,ETF Group is a venture capital firm specializing in investments in early stage technology companies.,https://www.crunchbase.com/organization/etf-group,,0
Pertinence Invest,Pertinence Invest is an investment Firm that works with tech start ups.,https://www.crunchbase.com/organization/pertinence-invest,,0
Olbia Invest,Olbia Invest finances and supports entrepreneurs. ,https://www.crunchbase.com/organization/olbia-invest,,0
Impact Partenaires,"A venture capital firm specializing in investments in early venture, mid venture, late venture, and growth capital transactions.",https://www.crunchbase.com/organization/impact-partenaires,,0
ESSEC Ventures,Essec has become the first French management school to launch a seed fund. The Essec Ventures 1 seed fund totals €1 million.,https://www.crunchbase.com/organization/essec-ventures,,0
Picardie Investissement,Picardie Investissement  is a Venture Capital Company (SCR) whose capital is held by regional institutional investors.,https://www.crunchbase.com/organization/picardie-investissement,,0
Origins Fund,We back legendary consumer founders with an unfair advantage from pre-seed to series A. Funding meets influence.,https://www.crunchbase.com/organization/origins-fund,,0
BTP Capital Investissement,BTP Capital Investissement is an investment firm.,https://www.crunchbase.com/organization/btp-capital-investissement,,0
Pfizer Venture Investments,Pfizer Venture Investments is a corporate venture capital firm that invests in areas of current or future strategic interest to Pfizer.,https://www.crunchbase.com/organization/pfizer-venture-investments,,0
Swisscom Ventures,"Swisscom Ventures is the corporate venture capital arm of Swisscom, that specializes in early stage tech investments.",https://www.crunchbase.com/organization/swisscom-ventures,,0
PMV,PMV is a private equity firm that implements projects that are important for prosperity and well-being.,https://www.crunchbase.com/organization/pmv-eu,,1
S.R.I.W.,The S.R.I.W. Group is an institution at the heart of the financial market that assists entrepreneurs in creating and developing businesses.,https://www.crunchbase.com/organization/s-r-i-w,,0
StepStone Group,"StepStone Group provides investors with customized portfolios that integrate primaries, secondaries, and co-investments.",https://www.crunchbase.com/organization/stepstone-group,,0
Limburgse Reconversie Maatschappij,"Limburgse Reconversie Maatschappij is a private equity firm financing ICT, media, life sciences, cleantech, and energy companies.",https://www.crunchbase.com/organization/limburgse-reconversie-maatschappij,,1
Innovation Industries,"Innovation Industries is a venture capital firm that invests up to EUR 30M in hightech, medtech and agri-foodtech companies.",https://www.crunchbase.com/organization/innovation-industries,,1
Mérieux Equity Partners,Mérieux Equity Partners is a global investment platform specialized in the healthcare & nutrition sector.,https://www.crunchbase.com/organization/mérieux-equity-partners,,1
Qbic Fund,"Qbic Fund is a multi-sector fund supporting spin-off companies of the Ghent, Brussels, Antwerp.",https://www.crunchbase.com/organization/qbic-fund,,0
Coelius Capital,Coelius Capital provides entrepreneurial early-stage capital for technology startups.,https://www.crunchbase.com/organization/coelius-capital,,0
Atlante Ventures,"Atlante Ventures is a leading Italian VC fund, operated by IMI Fondi Chiusi SGR, part of Intesa Sanpaolo Group.",https://www.crunchbase.com/organization/atlante-ventures,,0
SmartFin,SmartFin invests in B2B technology companies,https://www.crunchbase.com/organization/smartfin,,0
WING by Digital Wallonia,"W.IN.G (Wallonia Innovation and Growth) is an investment fund focusing on SAAS, medtech, engineering tech, advanced tech and deep tech",https://www.crunchbase.com/organization/w-in-g-wallonia-innovation-and-growth,,0
PDENH,PDENH is an investment management firm that specializes in the fields of venture capital and private equity investments.,https://www.crunchbase.com/organization/pdenh,,0
NoLimit Holdings,NoLimit Holdings is an investment partnership that focuses on global crypto assets.,https://www.crunchbase.com/organization/nolimit-holdings,,1
Droia Ventures,"Droia is a specialist investor, exclusively focused on the development of oncology and genetic disease therapies.",https://www.crunchbase.com/organization/droia,,1
Sambrinvest,Sambrinvest is an active venture capital player in the region of Charleroi - Thuin.,https://www.crunchbase.com/organization/sambr-invest,,0
Quest for Growth,"Quest for Growth (QGPLF) is an Internet company located in 19 Lei, Leuven, Flanders, Belgium.",https://www.crunchbase.com/organization/quest-for-growth,,0
Asimov Ventures,Asimov Ventures is an early-stage venture capital firm who invests in their areas of expertise: 3D Printing and Robotics.,https://www.crunchbase.com/organization/asimov-ventures,,1
Seed Capital Bizkaia,Seed Capital de Bizkaia aims to promote and develop new or existing companies that seeks to develop socially innovative projects.,https://www.crunchbase.com/organization/seed-capital-de-bizkaia,,0
Fund+,"Fund+ invests in companies operating in the diagnostics, therapeutics, medical devices, and life science sectors.",https://www.crunchbase.com/organization/fund,,1
Pymwymic,"The Put Your Money Where Your Mouth Is Community of families, philanthropists.",https://www.crunchbase.com/organization/pymwymic,,0
VIB,"VIB, a Belgium-based life sciences research institute, performs research for pharmaceutical, agricultural, and industrial applications.",https://www.crunchbase.com/organization/vib,,1
Vives Louvain Technology Fund,Vives Louvain Technology Fund is a multi-sector fund that focuses on early-stage and seed investments in technology across regions.,https://www.crunchbase.com/organization/vives-fund,,0
Medici Ventures,Medici Ventures manages Overstock.com’s investments in firms building solutions leveraging and servicing blockchain technologies.,https://www.crunchbase.com/organization/medici-ventures,,1
Nuoyan Capital,"Nuoyan Capital is an investment institution with in-depth research, comprehensive empowerment, and a professional focus.",https://www.crunchbase.com/organization/nuoyan-capital,,0
European Circular Bioeconomy Fund,European Circular Bioeconomy Fund invest and partner with entrepreneurs to accelerate late-stage circular bioeconomy companies.,https://www.crunchbase.com/organization/european-circular-bioeconomy-fund,,1
Theodorus III,The Theodorus investment fund has the objective to invest in the spin-offs of the Université Libre de Bruxelles,https://www.crunchbase.com/organization/theodorus-iii,,0
Saffelberg Investments,Saffelberg Investments is an independent financial and industrial holding controlling a portfolio of 250 million €.,https://www.crunchbase.com/organization/saffelberg-investments,,0
Finance.Brussels,Regional Investment Company of Brussels,https://www.crunchbase.com/organization/finance-brussels,,0
Fuse Capital,Venture Capital and Alternative Assets,https://www.crunchbase.com/organization/fuse-capital-cbbd,,0
TCD Capital (ex TheClubDeal),"Venture Capital and Private Equity Fund in Belgium and France investing in Tech, Life Sciences & Smart Living investing in 2-20M€ rounds.",https://www.crunchbase.com/organization/theclubdeal,,1
UCB Ventures,UCB Ventures is a €150 million strategic corporate venture fund,https://www.crunchbase.com/organization/ucb-ventures,,0
AMAVI Capital,AMAVI Capital is a PropTech investor with a Pan-European focus,https://www.crunchbase.com/organization/amavi-capital,,0
CNBB Venture Partners,CNBB Venture Partners is a software-focused investment firm that supports entrepreneurs in realizing their growth.,https://www.crunchbase.com/organization/cnbb-venture-partners,,0
SFPIM,SFPIM investment firm that invests in technology and infrastructure.,https://www.crunchbase.com/organization/sfpim,,0
Dow Venture Capital,Dow Venture Capital is focused on pursuing strategic investments in attractive start-up companies around the world.,https://www.crunchbase.com/organization/dow-venture-capital,,0
The CoFoundry,We help entrepreneurs transform their ideas into sustainable companies.,https://www.crunchbase.com/organization/the-cofoundry,,1
Akiles,Akiles is an evergreen investment company.,https://www.crunchbase.com/organization/akiles-ac38,,0
Halvings Capital,"Halvings Capital is to invest in crypto projects with lots of potential, before anyone else.",https://www.crunchbase.com/organization/halvings-capital,,1
Belcube,Belcube is a belgian based investment company.,https://www.crunchbase.com/organization/belcube-com,,0
Angelwise,Angelwise mainly focuses on providing maximum support to startups and young companies to guide them to the next phase in their growth.,https://www.crunchbase.com/organization/angelwise,,0
Agri Investment Fund,"AgroSavfe nv, a Belgium-based agro-biotech company",https://www.crunchbase.com/organization/agri-investment-fund,,0
White Fund,White Fund is a new Belgian early-stage private equity fund.,https://www.crunchbase.com/organization/white-fund,,0
Investsud,"Investsud is a capital firm that works on investments in different industries including food, general industry, and technological startup.",https://www.crunchbase.com/organization/investsud,,0
BAN Vlaanderen,"BAN Vlaanderen is the business angel network in Flanders, a value-added platform within which new or growing businesses are brought into",https://www.crunchbase.com/organization/ban-vlaanderen,,0
Ginko Ventures,"Founded in 2015, Ginko Ventures is a venture capital Firm targeting technologies, devices and solutions that will improve the way people.",https://www.crunchbase.com/organization/ginko-ventures,,0
Como Venture,Como Venture is a venture capital firm specialized in seed and early stage investments.,https://www.crunchbase.com/organization/como-venture,,0
Vinnof,"Vinnof is a venture capital firm that offers seed capital to innovative, early-stage startups based in Flanders, Belgium.",https://www.crunchbase.com/organization/vinnof,,0
Dental Innovation Alliance,Dental Innovation Alliance (DIA) is a venture capital company.,https://www.crunchbase.com/organization/dental-innovation-alliance,,0
Sherpa Invest,Sherpa Invest is a provider of venture capital and private equity funding service intended to serve business entities.,https://www.crunchbase.com/organization/sherpa-invest,,0
ForsVC,ForsVC is a game fund with focus on the local game industry.,https://www.crunchbase.com/organization/forsvc,,1
Fidimec,Fidimec is a Belgium-based venture capital firm that offers investment and incubation services for seed stage startups.,https://www.crunchbase.com/organization/fidimec,,0
imec.istart Future Fund,imec.istart Future Fund is an independent early-stage venture capital fund.,https://www.crunchbase.com/organization/imec-istart-future-fund,,0
invest.bw,invest.bw is a venture capital firm.,https://www.crunchbase.com/organization/invest-bw-555b,,0
Inventures,"Inventures provides professional alliance management services to help guide, launch, and operate alliances.",https://www.crunchbase.com/organization/inventures,,0
Shaping Impact Group,"We enable investors, philanthropists, funds and foundations to generate maximum societal impact with their available resources.",https://www.crunchbase.com/organization/shaping-impact-group,,0
Namur Invest,"Namur Invest Group provides companies with financing solutions in various forms adapted to their needs, to strengthen their financial.",https://www.crunchbase.com/organization/namur-invest,,0
Gogreen Capital,GoGreen Capital is a venture capital firm focused on the renewable sector.,https://www.crunchbase.com/organization/gogreen-capital,,1
Spinventure,Spinventure supports the creation of spin-off companies that aim to industrialize and commercialize the result of scientific research.,https://www.crunchbase.com/organization/spinventure,,0
Flanders Future Techfund,Flanders Future Techfund operates as an investment firm.,https://www.crunchbase.com/organization/flanders-future-techfund,,0
Freshmen Fund,"Freshmen fund is a European boutique funds, actively supporting emerging B2C businesses",https://www.crunchbase.com/organization/freshman-fund-a746,,0
iMinds Ventures,"iMinds Ventures, a leading professional venture catalyst firm serving the Internet industry.",https://www.crunchbase.com/organization/iminds-ventures,,0
Gesval,A limited company of the University of Liège (ULiege).,https://www.crunchbase.com/organization/gesval,,0
QuaeroQ,QuaeroQ is a privately-held investment fund that invests in small and midsize companies.,https://www.crunchbase.com/organization/quaeroq,,0
"Fonds Vives II (University of Louvain, UCL)","Fonds Vives II (University of Louvain, UCL)",https://www.crunchbase.com/organization/fonds-vives-ii-university-of-louvain-ucl,,0
Dedicated,Venture capital investment boutique sourcing only high-potential deals. We invest 1 to 3M from series A to pre-IPO all over the world.,https://www.crunchbase.com/organization/dedicated-e84b,,0
SHIGERU AG,SHIGERU AG is a technology company that leverages technological innovation to enable a new way of life.,https://www.crunchbase.com/organization/shigeru-ag,,1
Sopartec,Sopartec is the technology transfer and investment company owned by the Université catholique de Louvain.,https://www.crunchbase.com/organization/sopartec,,0
VP Capital,VP Capital is the investment company of the Van Puijenbroek family.,https://www.crunchbase.com/organization/vp-capital-8bc9,,0
TNN Capital,TNN Capital provides a complete financial planning and investment service to high net-worth individuals and their families.,https://www.crunchbase.com/organization/tnn-capital,,0
Green Park Investment Partners,Green Park Investment Partners is an investment platform.,https://www.crunchbase.com/organization/green-park-investment-partners,,0
Sniper Investments,"Sniper Investments is a lean, transparent value investment fund with a long term philosophy.",https://www.crunchbase.com/organization/sniper-investments,,0
CAREvolution,CAREvolution is a venture capital firm that invests in healthcare sectors.,https://www.crunchbase.com/organization/carevolution-36ac,,1
Chroma Impact Investment,Chroma Impact Investment is an investment firm that transition towards sustainable and renewable sources of energy production.,https://www.crunchbase.com/organization/chroma-impact-investment,,1
Entourage,Entourage is a venture Studio and early stage VC that invests in early-stage B2B and SaaS sectors.,https://www.crunchbase.com/organization/entourage-33e7,,0
Fundracer Capital,Fundracer Capital Fundracer is a closed venture capital fund that invests in pre-seed to series.,https://www.crunchbase.com/organization/fundracer-capital,,0
Aperam Ventures,"Aperam Ventures, a subsidiary of the steel company Aperam Group.",https://www.crunchbase.com/organization/aperam-ventures,,0
Look Up Ventures,Look Up Ventures invests in deep tech and hardware start-ups from pre-seed to series A.,https://www.crunchbase.com/organization/look-up-ventures,,0
Lab Box,Lab Box is a great Belgian start-up studio focusing on the future of mobility.,https://www.crunchbase.com/organization/lab-box,,1
Comate Ventures,Comate Ventures is a pre-seed fund with a 100% focus on hardware startups.,https://www.crunchbase.com/organization/comate-ventures,,1
Lumiares,Lumiares actively seeks out the most promising digital health opportunities.,https://www.crunchbase.com/organization/lumiares,,0
Airborn,Investing in founders with impact,https://www.crunchbase.com/organization/airborn-6521,,0
Qunova,"Qunova is a Europe-based, early-stage venture capital firm.",https://www.crunchbase.com/organization/qunova-2,,0
Zauba Technologies,Zauba Corp helps you to know financial performance of businesses you deal with.,https://www.crunchbase.com/organization/zauba-technologies,,0
WorldStone Ventures,WorldStone Ventures is an investment company that specializes in funding innovative start-up companies.,https://www.crunchbase.com/organization/worldstone-ventures,,0
Galactic Beacon Ventures,Galactic Beacon Ventures is an investment firm.,https://www.crunchbase.com/organization/galactic-beacon-ventures,,0
Ventures by delaware,"Ventures by delaware operates as a unique accelerator, mentorship and funding program.",https://www.crunchbase.com/organization/ventures-by-delaware,,0
V Ventures,V Ventures is the investment arm of the Netherlands-based foundation Vereniging Veronica.,https://www.crunchbase.com/organization/v-ventures,,0
Christavest,Christavest,https://www.crunchbase.com/organization/christavest-2,,0
International Finance Corporation,International Finance Corporation is a private equity and venture capital subsidiary focused on the private sector in developing countries.,https://www.crunchbase.com/organization/international-finance-corporation,,0
Notable Capital,"Notable Capital is a venture capital firm investing in notable ideas, notable causes, and notable founders with global ambitions.",https://www.crunchbase.com/organization/notable-capital-e2dd,,0
Ontario Centres of Excellence,Ontario Centres of Excellence is an investment company that offers projects and acceleration to industry.,https://www.crunchbase.com/organization/ontario-centres-of-excellence,,0
BEENEXT,"BEENEXT is a venture capital firm investing in startups from India, Southeast Asia, Japan, and USA.",https://www.crunchbase.com/organization/bee-next,,0
B Capital,B Capital Group is a venture capital firm that backs global entrepreneurs in the field of information technology.,https://www.crunchbase.com/organization/b-capital-group,,0
Ridge Ventures,"Ridge Ventures is a fast, flexible, and founder-focused early stage venture capital fund.",https://www.crunchbase.com/organization/ridge-ventures,,0
Shinhan Capital,Shinhan Capital is a credit-specialized company offering corporate finance services for its clients.,https://www.crunchbase.com/organization/shinhan-capital,,0
Empower Investment,"Empower Investment invests in internet, AI, big data, automation and robotics, financial technology, education, materials, and healthcare.",https://www.crunchbase.com/organization/empower-investment,,0
IIMA Ventures,"Indian technology business incubator that supports entrepreneurs in the IT, cleantech, healthcare, and education sectors.",https://www.crunchbase.com/organization/ciie-iim-ahmedabad,,0
BOM,"BOM invests in innovative start-up and growth companies, to improve the economic structure in the province of Brabant.",https://www.crunchbase.com/organization/brabantse-ontwikkelings-maatschappij-bom,,0
Silicon Badia,Silicon Badia is a venture capital firm that invests in technology companies globally.,https://www.crunchbase.com/organization/silicon-badia,,0
TotalEnergies Ventures,TotalEnergies Ventures is TotalEnergies' venture capital arm focusing on climatech start-ups.,https://www.crunchbase.com/organization/total-energy-ventures-international,,1
DSM Venturing,"DSM Venturing is the corporate venture arm of Royal DSM, investing in startups in sectors of animal and human health & nutrition and biomed.",https://www.crunchbase.com/organization/dsm-venturing,,1
VilCap Investments,VilCap Investments deploys critical risk capital to early-stage companies peer-selected from Village Capital accelerator programs.,https://www.crunchbase.com/organization/vilcap-investments,,0
Bienville Capital,Bienville is a New York-based investment firm managing capital for select institutional and family office clients. ,https://www.crunchbase.com/organization/bienville-capital-management,,0
Inkef,Inkef focuses on early-stage venture investing in European companies active in technology and healthcare.,https://www.crunchbase.com/organization/inkef-capital,,0
SV Investment Corp,SV Investment Corp is a venture capital firm.,https://www.crunchbase.com/organization/sv-investment-corp,,0
Nex Cubed,Nex Cubed is a pre-seed venture accelerator on a mission to invest in and uplift underrepresented founders and underserved communities.,https://www.crunchbase.com/organization/nex-cubed,,1
InnovationQuarter,InnovationQuarter is the regional development agency for South Holland.,https://www.crunchbase.com/organization/innovation-quarter,,0
OostNL,"Eastern NL is a development company that allows entrepreneurs to innovate, invest, and internationalize sustainably.",https://www.crunchbase.com/organization/oostnl,,0
Cottonwood Technology Fund,Cottonwood Technology Fund is an early-stage venture capital fund that primarily invests in technology-driven companies.,https://www.crunchbase.com/organization/cottonwood-technology-fund,,0
Falak Startups,Falak Startups is an Egyptian startup accelerator that supports and empowers entrepreneurs in the Egypt's startup ecosystem.,https://www.crunchbase.com/organization/falak-startups,,0
Invest-NL,Invest-NL is a investment company.,https://www.crunchbase.com/organization/invest-nl,,0
Bankinter,Bankinter is a commercial bank with a Venture Capital program investing in startups,https://www.crunchbase.com/organization/bankinter,,0
