Organization Name,Organization Name URL,Description,B2B Binary
CallPage,https://www.crunchbase.com/organization/callpage,CallPage is an ICT SaaS company that converts website visitors into sales calls.,1
Orbital Matter,https://www.crunchbase.com/organization/orbital-matter,Orbital Matter is a construction company in space that works on a 3D printing technology to be used directly in orbit and on the moon.,1
MoreGrowth,https://www.crunchbase.com/organization/more-growth,"MoreGrowth is a technology startup company founded in 2022 in Warsaw, Poland. It creates popular websites and monetizes their traffic.",1
Xopero,https://www.crunchbase.com/organization/xopero,"Data protection, backup and disaster recovery",1
BLISKO,https://www.crunchbase.com/organization/the-village-network-6463,"Pioneering early education with owned/franchised centers, backed by unique SaaS tech; empowering women",1
Sundose,https://www.crunchbase.com/organization/sundose,Sundose is a manufacturer of data-driven diet supplements.,0
FinAi,https://www.crunchbase.com/organization/finai,FinAi is a fintech that simplify the world of finance.,0
Talkin' Things,https://www.crunchbase.com/organization/talkin-things,Talkin’ Things develops full RFID IoT ecosystem for bringing trillions of off-line things on-line.,1
Linker Cloud Fulfillment Network,https://www.crunchbase.com/organization/linker-cloud-fulfillment-platform,Linker brings e-commerce to logistics and logistics to e-commerce. Cloud based solution for omnicommerce fulfillment.,1
Wellbee,https://www.crunchbase.com/organization/wellbee-58a9,Wellbee is an online mental health platform providing personalized mental health solutions both to individuals and B2B.,0
Perfect Gym Solutions,https://www.crunchbase.com/organization/perfect-gym-solutions-s-a,PerfectGym is a club management software. With 1MLN clients in more than 1000 clubs in 50 countries we are the leading company in our field.,1
inSTREAMLY,https://www.crunchbase.com/organization/instreamly,inSTREAMLY is an automated streamer management platform which brings brands and streamers together.,1
Deepflare,https://www.crunchbase.com/organization/deepflare,Deepflare is an AI company helping pharma firms accelerate cancer vaccine and immunotherapy development.,1
ICSEC,https://www.crunchbase.com/organization/icsec,ICSEC is a cybersecurity software company focused on protecting industrial control networks.,1
Certifier,https://www.crunchbase.com/organization/certifier-8c53,Professional Certificate Maker - create and send certificates,1
Nomagic,https://www.crunchbase.com/organization/nomagic,Nomagic provides smart pick and place robotic solutions for order fulfillment.,1
NaturalAntibody,https://www.crunchbase.com/organization/naturalantibody,Accelerate your therapeutic pipeline with the most advanced bioinformatics solutions,1
CashDirector,https://www.crunchbase.com/organization/cashdirector,CashDirector SA is a technology company providing banks with Virtual CFO & real-time accounting platforms for SME clients.,1
Trusted Twin,https://www.crunchbase.com/organization/trusted-twin,The Data Collaboration platform. Empowering the creation of digital products based on data collaboration.,1
Booste,https://www.crunchbase.com/organization/booste,Booste is a fintech company that provides revenue-based financing to e-commerce companies.,1
Genomtec,https://www.crunchbase.com/organization/genomtec,Genomtec is a biotechnology company that develops mobile technology designed for molecular diagnostics.,1
merXu,https://www.crunchbase.com/organization/merxu,MerXu is an online trading platform for small and medium-sized enterprises.,1
SUPERSONIC Food,https://www.crunchbase.com/organization/supersonic-food-company,SUPERSONIC Food is a company offering innovative and natural meals and drinks focused on the health and performance of the body and mind.,0
Upacjenta,https://www.crunchbase.com/organization/upacjenta,Upacjenta is to popularize preventive laboratory tests among Polish women and Poles.,0
GGPredict,https://www.crunchbase.com/organization/ggpredict-io,AI Coach for esports players,0
Omnipack,https://www.crunchbase.com/organization/omnipack,Frictionless fulfillment for e-commerce,1
Rainbow Weather,https://www.crunchbase.com/organization/rainbow-weather,Rainbow Weather uses artificial intelligence to give accurate and rapid weather forecasts.,1
Infermedica,https://www.crunchbase.com/organization/infermedica,Infermedica is a leading digital health company specialized in AI-powered solutions for preliminary diagnosis and patient triage.,1
ReadyCode.io,https://www.crunchbase.com/organization/readycode-io,ReadyCode is a startup that provides robust modding support technology.,0
Four Point,https://www.crunchbase.com/organization/four-point,Four Point develops TerraEye - Jumpstarting your next mineral exploration with AI-powered satellite data processing,1
SonarHome,https://www.crunchbase.com/organization/sonarhome,SonarHome offers iBuying and enables the sale of an apartment directly to the company.,0
Labplus,https://www.crunchbase.com/organization/labplus-d7e1,"Labplus is a medtech startup that developed the world's first clinically proven, medical-grade software that interprets lab test results.",1
BioCam,https://www.crunchbase.com/organization/biocam,BioCam is a medtech startup that increase the comfort of patients’ lives and provide new solutions for healthcare.,1
Secfense,https://www.crunchbase.com/organization/secfense,Secfense User Access Security Broker is an enabler of all multi-factor authentication methods (MFA).,1
WIDMO Spectral Technologies (formerly SGPR.TECH),https://www.crunchbase.com/organization/sgpr-tech,Unique solution for subsurface tomography build to deliver geological information of unprecedented quality.,1
Envirly,https://www.crunchbase.com/organization/quabntifier,Envirly is a Polish technology company that offers an innovative platform for managing sustainable development.,1
SentiOne,https://www.crunchbase.com/organization/sentione,Conversational AI Platform - Discover customer service automation with next-generation chatbots,1
EMYS,https://www.crunchbase.com/organization/flash-robotics,"EMYS - the most advanced, English speaking educational robot with outstanding interactive capabilities for kids aged 3 - 7.",0
FindAir,https://www.crunchbase.com/organization/findair,"FindAir System is an award-winning, smart tool for asthma monitoring. Start using FindAir ONE and take control of your asthma today.",1
Proteine Resources,https://www.crunchbase.com/organization/proteine-resources,Insect proteins with medical properties for poultry and pets,1
Epinote,https://www.crunchbase.com/organization/epinote,Epinote is Warsaw-based annotation boutique that provides high quality data annotation and collection services.,1
Sales Agency,https://www.crunchbase.com/organization/sales-agency-bdc8,Sales as a Service - B2B Sales Outsourcing,1
Kogena,https://www.crunchbase.com/organization/kogena,Kogena develops the first vendor-independent AI-powered platform for monitoring collaborative robots (cobots),1
Wimba,https://www.crunchbase.com/organization/wimba-83f7,"Wimba offers a range of orthopedic 4D printed products for animals, new measurement techniques, and a dedicated app.",1
HiPets,https://www.crunchbase.com/organization/hipets,All in one platform for pet parents.,0
VoiceLab,https://www.crunchbase.com/organization/voicelab,AI-powered technologies to improve sales and customer service. Empower Your Voice.,1
Amano,https://www.crunchbase.com/organization/amano-de52,Amano to redesign the communication between merchants and consumers.,1
Feyenally,https://www.crunchbase.com/organization/gepetto,Feyenally develops mobile app-based solutions that enables patients to self-examine their eyes refractive error at home.,0
SOLO Workout (Heavy Kinematic Machines),https://www.crunchbase.com/organization/heavy-kinematic-machines,Heavy Kinematic Machines has developed an app called SOLO which enables the user to track workouts and maintain a record of training & time.,0
SmokeD System Inc.,https://www.crunchbase.com/organization/smoked,"HighTech company, AI/ML/HeSaaS for wildfire detection purposes.",1
SP Tech,https://www.crunchbase.com/organization/sp-tech-d0dd,SP Tech Solutions algorithms optimize railways around the world. easily. effectively. immediatly.,1
Beit,https://www.crunchbase.com/organization/beit,Beit designs and implements an algorithm for solving a relevant NP-complete class of problems using Quantum Computers effectively.,1
PsiBufet,https://www.crunchbase.com/organization/psibufet,Psibufet offers a healthy and natural diet for dogs.,0
VersaBox,https://www.crunchbase.com/organization/versabox,VersaBox designs and manufactures autonomously guided vehicles for industrial and consumer applications.,1
ITaxi,https://www.crunchbase.com/organization/itaxi,"ITaxi is a free mobile application, allowing its users to order cabs through its application.",0
Dark Passenger,https://www.crunchbase.com/organization/dark-passenger,Dark Passenger is a firm that develops video games.,0
ESPORTSLAB,https://www.crunchbase.com/organization/esportslab,ESPORTSLAB is a startup that creates technologies necessary for the future of pro gaming.,0
Apeiron Synthesis,https://www.crunchbase.com/organization/apeiron-synthesis,"Apeiron Synthesis offers catalytic olefin metathesis technology that helps agrichemicals, fine chemicals, fragrances, polymers, and pharma.",1
Enelion,https://www.crunchbase.com/organization/enelion,"Enelion is a supplier of complex, inteligent solutions for EV charging and energy management.",1
HCM Deck,https://www.crunchbase.com/organization/hcm-deck,HCM Deck empowers enterprises to deliver employee development experience at scale.,1
eGabinet,https://www.crunchbase.com/organization/egabinet,eGabinet is a team of specialists that implements new technologies in medical care.,1
Influencify,https://www.crunchbase.com/organization/influencify,Software company specialising in D2C brands marketing solutions,1
DAC - Dynamic Air Cooling,https://www.crunchbase.com/organization/dac-sp-z-o-o,Dynamic Air Cooling (DAC) provides a new ecological way to generate cold for industrial or residential air cooling and refrigeration.,1
INKsearch.co,https://www.crunchbase.com/organization/inksearch-co-booking-platform-for-tattoo-lovers,INKsearch - SaaS-enabled marketplace with AI for the tattoo industry. We simply speed up connection between best artists and clients,1
Diagu,https://www.crunchbase.com/organization/diagu,AI system helps clinicians to analyse diagnostics information.,1
ResQuant,https://www.crunchbase.com/organization/resquant,ResQuant develops fully flexible design of cryptographic processor resistant to attacks with quantum computers.,1
Smarter Diagnostics,https://www.crunchbase.com/organization/smarter-diagnostics,Smarter Diagnostics brings innovation for orthopedic injury preventive diagnostics with medical imaging and AI,1
ProperGate,https://www.crunchbase.com/organization/propergate,Smart system automating delivery management for complex construction sites.,1
The Batteries,https://www.crunchbase.com/organization/the-batteries,"Thin film battery production technology, economically viable for smartphones, wearables and IOT.",1
Pogaduszki Sp. z o.o.,https://www.crunchbase.com/organization/pogaduszki-sp-z-o-o,"Pogaduszki Sp. z o.o. operates between medicine, AI and gaming to build an application.",0
Gotiva,https://www.crunchbase.com/organization/gotiva,Apps powered by human creativity!,1
Rating Captain,https://www.crunchbase.com/organization/rating-captain,Rating Captain uses AI-driven technology to better understand customers and automate customer service.,1
Seemore,https://www.crunchbase.com/organization/seemore,Seemore specializes in highly advanced solutions associated with augmented reality by creating things not previously existing in the market.,1
PerfectBot.AI,https://www.crunchbase.com/organization/perfectbot,The #1 AI Agent for online stores,1
Travatar,https://www.crunchbase.com/organization/travatar-1845,Travatar is a cloud-based solution eliminating fake traffic and fraud.,1
Deep-image.ai,https://www.crunchbase.com/organization/deep-image-ai,Artificial Intelligence Image Enhancer,1
Moniti,https://www.crunchbase.com/organization/moniti,SaaS B2B | Moniti is an all-in-one mobile solution designed for deskless and on-the-go teams,1
Flexee,https://www.crunchbase.com/organization/flexee,Flexee is a fintech company that provides employee financial benefit management services.,1
Mooveno,https://www.crunchbase.com/organization/multiwash,Mooveno is a software application company that provides services and processes related to fleet management for companies and individuals.,1
Pethelp,https://www.crunchbase.com/organization/pethelp,Provider of veterinary and pet care packages for pet owners.,0
NeuroGames Lab,https://www.crunchbase.com/organization/neurogames-lab,"DeepTech (AI). Automated SaaS platform with HR games, neuroscientifically validated for sales departments in banks and insurers companies.",1
Senuto,https://www.crunchbase.com/organization/senuto,Senuto is a SaaS-based toolset for comprehensive SEO support,1
Virbe,https://www.crunchbase.com/organization/virbe,Virbe provides digital signage solutions to increase customer engagement.,1
Globe Green Energy,https://www.crunchbase.com/organization/globe-green-energy,Effective biomass combustion and cogeneration,1
Surge Cloud,https://www.crunchbase.com/organization/surge-cloud,Surge Cloud is a Polish company specialized in digital transformations and tradeometrics for sales outlets,1
PerfOps,https://www.crunchbase.com/organization/perfops,"Distributed infrastructure monitoring, smart traffic load-balancing and routing",1
Closer Music,https://www.crunchbase.com/organization/closer-music,Closer Music offers a safe and simple high-quality music licensing solution.,1
upmedic,https://www.crunchbase.com/organization/upmedic,"Medtech, SaaS, Web, Radiology, AI",1
Fizen.com,https://www.crunchbase.com/organization/fizen-com,"A2A payments, KYC and scoring based on banking data. Open banking platform for CEE (Central and Eastern Europe)",1
Minte.ai,https://www.crunchbase.com/organization/minte-ai,Minte.ai automates medical (insurance) claims processing. OPEX savings reach 19k mandays/year for an average insurance product (500k claims),1
Hydropolis,https://www.crunchbase.com/organization/hydropolis,Hydropolis is a tech start-up specializing in indoor vertical farming solutions.,1
Papu.io,https://www.crunchbase.com/organization/papu-io,Papu.io is a system that automates the delivery and customer satisfaction management in delivery restaurants.,1
CyberHeaven,https://www.crunchbase.com/organization/cyberheaven,Creating tools necessary to ensure complete control over your data by providing cybersecurity services at the highest level.,0
Fluence.technology,https://www.crunchbase.com/organization/fluence-technology-6726,Fluence is laser manufacturer focused on environmentally stable femtosecond fiber laser technology.,1
HearMe,https://www.crunchbase.com/organization/hearme-ce74,"Online psychological support for employees. Mental health benefits. E2E secured, anonymous with IT-focused psychologists.",1
Fyrtel,https://www.crunchbase.com/organization/fyrtel,"E-grocery, local marketplace, last-mile delivery, mobile app",0
Gekko Photonics,https://www.crunchbase.com/organization/gekko-photonics,European developer of innovative photonics,1
Fliko,https://www.crunchbase.com/organization/fliko,Fliko is a network of integrated solutions that promotes efficient and successful property management.,1
Solwena,https://www.crunchbase.com/organization/solwena,AI-driven Building Energy Management System,1
Heroify,https://www.crunchbase.com/organization/heroify,Heroify is a skill testing platform for marketing and sales jobs.,1
Helping Hand,https://www.crunchbase.com/organization/helping-hand-6087,Helping Hand is the first app in Poland that allows users to receive complete and personalized psychological support.,0
Talent Alpha,https://www.crunchbase.com/organization/talent-alpha-inc,Talent Alpha is an IT talent marketplace that connects businesses with the world’s largest network of trusted software companies.,1
SquarePlan,https://www.crunchbase.com/organization/squareplan-7502,SquarePlan is an AI-powered platform that streamlines lease valuation and space planning through automated algorithms and valuation.,1
SmartDust,https://www.crunchbase.com/organization/smartdust,The global network of real mobile devices for virtual test labs.,1
Olympus Sky,https://www.crunchbase.com/organization/olympus-sky,Olympus Sky provides secure communication and credential management for IoT-related hardware and virtual assets.,1
AutonomyNow,https://www.crunchbase.com/organization/autonomynow,AutonomyNow develops autonomous systems for the automotive industry.,1
EGZOTech,https://www.crunchbase.com/organization/egzotech,EGZOTech empowers physiotherapy with robots.,1
Droplabs,https://www.crunchbase.com/organization/droplabs,Online sales engine for Experiences; SaaS,1
Optimatik,https://www.crunchbase.com/organization/optimatik,Real-time IoT Platform for Industrial Vehicles,1
Digital Fingerprints,https://www.crunchbase.com/organization/digital-fingerprints-is-a-continuous-authentication-solution-based-on-behavioural-biometrics,Digital Fingerprints is a continuous authentication solution based on behavioural biometrics compliant with PSD2 and GDPR,1
skytrading.io,https://www.crunchbase.com/organization/skytrading-io,Skytrading.io is AI-driven algotrading app. We empower traders with no coding skills to build and optimize trading strategies.,0
Thorium Space,https://www.crunchbase.com/organization/thorium-space,Thorium Space is a designer and builder of satellite telecommunications systems.,1
SmartHotel,https://www.crunchbase.com/organization/smarthotel-01b0,Smart new way for guests to interact with hotels or airBnbs during the stay,0
BlueKey,https://www.crunchbase.com/organization/bluekey-de2d,Connected Realities. Our mission is to enable escape room creators to share their passion with the whole world,1
Scramjet,https://www.crunchbase.com/organization/scramjet,Reactive Data Processing Company,1
modue,https://www.crunchbase.com/organization/modue,"Revolutionizing digital interaction with customizable, modular electronic accessories.",0
Inteliclinic,https://www.crunchbase.com/organization/intelclinic,Inteliclinic is an engineering studio specializing in artificial intelligence technologies and biological signal processing systems.,1
ProteinRise,https://www.crunchbase.com/organization/proteinrise,PROTEINrise is a platform for the development of plant-based food technologies.,1
URSTYLE,https://www.crunchbase.com/organization/urstyle,Fashion Social Network,0
Sensus AI,https://www.crunchbase.com/organization/sensus-ai,A system to support the remote recruitment process using computer vision.,1
Delivery Couple,https://www.crunchbase.com/organization/delivery-couple,"We build&operate semi-autonomous food delivery robots for restaurants and marketplaces (UberEats, Glovo)",1
Bisonte,https://www.crunchbase.com/organization/bisonte,Bisonte develops underwater drones designed based on a variable geometry hull for various off-shore applications.,1
Autofixer.com,https://www.crunchbase.com/organization/autofixer-com,"Modern and data-driven e-commerce company, where we revolutionize the way people buy auto parts and accessories.",0
Maas Loop,https://www.crunchbase.com/organization/maas-loop,Maas Loop is a producing recycling equipment startup,1
Apipay,https://www.crunchbase.com/organization/apipay,Comprehensive solution for electronic payment on premise.,1
Skriware,https://www.crunchbase.com/organization/skriware,"Skriware provides an IoT ecosystem for STEAM education combining 3D printing, robotics and e-learning solutions.",1
Elmodis,https://www.crunchbase.com/organization/elmodis,Elmodis offers an end-to-end IoT solution that monitors performance and improves operating efficiency of industrial machines.,1
Simpl.rent,https://www.crunchbase.com/organization/simpl-rent,Simpl.rent is a Polish-British startup that provides a digital platform that increases security and trust in the residential rental market.,0
Activy - Corporate Sports Challenges,https://www.crunchbase.com/organization/activy,Activy boosting corporate wellness with engaging sports challenges in a mobile app. Empower your team's health like never before.,1
Papukurier,https://www.crunchbase.com/organization/papukurier,Papukurier is delivery as a service solution that provides urban logistics and technology for on-demand food delivery challenges.,1
TakeTask,https://www.crunchbase.com/organization/taketask,"TakeTask is a mobile application used to assign, execute and verify tasks on a large scale in many locations, for any industry.",1
Stepapp,https://www.crunchbase.com/organization/stepapp-92fe,Stepapp offer professional apartment cleaning services.,1
RealEye,https://www.crunchbase.com/organization/realeye,RealEye is an online webcam eye-tracking platform that optimizes UX and discovers the unconscious behavior of users.,0
ZeroQs,https://www.crunchbase.com/organization/zeroqs,We are changing the retail. Take what you need and leave the store.,1
Sagenso,https://www.crunchbase.com/organization/cyberstudio,Implementation and maintenance of an effective data security management process to provide peace of mind to medium and large businesses.,1
Proxigroup,https://www.crunchbase.com/organization/proxigroup,ProxiGroup delivers innovative cloud software solutions.,1
PixBlocks,https://www.crunchbase.com/organization/pixblocks,PixBlocks is an app that teaches coding to individuals of all ages.,0
Laven,https://www.crunchbase.com/organization/laven,Laven helps employers offer complementary health insurance for their employees.,1
Fluentbe,https://www.crunchbase.com/organization/fluentbe,Quality English lessons from the comfort of your home.,0
goodsleeper,https://www.crunchbase.com/organization/goodsleeper,Digital therapeutics for insomnia.,0
Gridaly,https://www.crunchbase.com/organization/gridaly,"Gridaly is an all-in-one SaaS event platform that allows organizers to manage their online, hybrid, or in-person events from one place.",1
SmartyMeet,https://www.crunchbase.com/organization/smartymeet,Leveraging AI To Enhance Video Meetings,0
Zakazane,https://www.crunchbase.com/organization/zakazane,Zakazane is a games development company.,1
TrustMate,https://www.crunchbase.com/organization/trustmate,Saas,1
Selmo,https://www.crunchbase.com/organization/selmo,Selmo is a Facebook sales assistant that creates orders and sends summaries.,0
Pacific,https://www.crunchbase.com/organization/pacific,Marketplace & Payment system for social media and e-commerce.,0
REbuild,https://www.crunchbase.com/organization/rebuild,REbuild is a 3D printing technology for the construction industry.,1
Exit Plan Games,https://www.crunchbase.com/organization/exit-plan-games,"New experiences for players, fun games with fresh concepts, easy to pick-up and play… Games which developers would want to play themselves.",0
KSM Vision,https://www.crunchbase.com/organization/ksm-vision,KSM Vision is a provider of optical hardware and software line control system solutions for line manufacturers.,1
Therapify,https://www.crunchbase.com/organization/therapify,Therapify is a SaaS enabled marketplace for Mental Health industry. We provide mental health care as a benefit for companies.,1
AGICortex,https://www.crunchbase.com/organization/agicortex,AI for the physical world - AutoML framework for Robots & Drones,1
Kanri Soft,https://www.crunchbase.com/organization/kanri-soft,B2B SaaS with IoT for managing production process management,1
City Robotics,https://www.crunchbase.com/organization/city-robotics,"At City Robotics we believe that our inventions should support work alongside humans, not replace them.",1
Placeme,https://www.crunchbase.com/organization/placeme,Placeme is an online tool that enables predict potential sales at specific address. ,1
Reef Factory,https://www.crunchbase.com/organization/reef-factory,Reef Factory offers software and IoT products for marine aquarists.,1
Beboq Robotics,https://www.crunchbase.com/organization/beboq-robotics,Beboq Robotics provides robotic stations that help to produce according to plan and become independent from the lack of hands.,1
Self Learning Solutions,https://www.crunchbase.com/organization/self-learning-solutions,"SaaS, FinTech, Cloud, AI, APIs, Blockchain",1
SiDLY,https://www.crunchbase.com/organization/sidly,AI medical technology that saves human lives.,1
Cloud Partners,https://www.crunchbase.com/organization/cloud-partners,"SaaS, Cloud Cost optimisation services",1
Instapay,https://www.crunchbase.com/organization/instapay-acca,Revenue management and payment platform,1
Petgram,https://www.crunchbase.com/organization/petgram,"Petgram is a multifunctional platform for pets that includes a social network, a GPS location system, and the Petgram Marketplace.",0
Onteon Tech,https://www.crunchbase.com/organization/onteon,"Onteon Tech is a deep tech company focused on development and sales of its own products and technologies: Onteon, Hetman, high-availability.",1
Influence That Matters,https://www.crunchbase.com/organization/influence-that-matters,Influence That Matters is a platform that believes in the power of real connections.,0
Indoorway,https://www.crunchbase.com/organization/indoorway,Real-time Location System that reduces unplanned downtime and improves productivity for manufacturing companies,1
E-contenta,https://www.crunchbase.com/organization/e-contenta,AI driven platform that help brands to distribute their editorials in the format of native advertising,1
SoftwareSupp,https://www.crunchbase.com/organization/picksaas-com,Elite Freelancers Network. Hire Certified Freelancers on-demand.,1
MetalMaker 3D,https://www.crunchbase.com/organization/metalmaker-3d,Additive Manufacturing + Artificial Intelligence + Metal Casting,1
Medify.me,https://www.crunchbase.com/organization/medify-me,"Specialized medical practice, App",0
Teamsharq,https://www.crunchbase.com/organization/teamsharq,"Teamsharq allows users to run any software on a virtual desktop, and where AI can take control of the desktop, behaving like a live mentor.",1
Viraltalk,https://www.crunchbase.com/organization/viraltalk,Viraltalk provides a communication management and advertising optimization analysis tool for TikTok.,0
Poley.me,https://www.crunchbase.com/organization/poley-me,We are a hardware startup delivering robotic solutions to drink serving industry.,1
SilkPLM,https://www.crunchbase.com/organization/silkplm,Cloud-based Saas platform that enhances the supply chain through comprehensive Product Lifecycle Management (PLM),1
The Woof,https://www.crunchbase.com/organization/the-woof,The Woof provides a dog collar that includes a GPS tracker.,0
Future Collars,https://www.crunchbase.com/organization/future-collars,Interaktywna platforma oferująca kursy programowania w trybie zdalnym.,0
Primetric,https://www.crunchbase.com/organization/primetric,Primetric is a single command center for executives in software development and IT services companies.,1
SDS Optic,https://www.crunchbase.com/organization/sds-optic,SDS Optic specializes in pre-assembling of hermetic and standard photoelectronics components.,1
Healthcann,https://www.crunchbase.com/organization/healthcann,Healthcann is a drug delivery company specializing in advanced cannabinoid therapeutic solutions.,0
Swapp!,https://www.crunchbase.com/organization/swapp-9a31,Swapp! is a manufacturing company that designs packaging containers using sustainable consumption of FMCG products.,0
Equinity Solutions,https://www.crunchbase.com/organization/equinity-solutions,Monitoring system for equine animals using artificial intelligence,0
Stretchme,https://www.crunchbase.com/organization/stretchme,Transforming experience from Stretchme studios into everyone's home with interactive app,0
CleverClaim,https://www.crunchbase.com/organization/cleverclaim,CleverClaim is an automated claim management platform that simplifies and streamlines the process of managing claims.,0
Green Lanes,https://www.crunchbase.com/organization/green-lanes,Green Lanes develops cannabis-related projects in accordance with the commercial opportunities found.,0
Safebox24,https://www.crunchbase.com/organization/safebox24,Safe deposit boxes 24/7,0
Photon Entertainment,https://www.crunchbase.com/organization/photon-entertainment,Photon Entertainment develops interactive robots for its clients.,1
CodeAlly,https://www.crunchbase.com/organization/codeally,CodeAlly matches young programmers with tech-forward companies.,0
